name,location,price,area_type,area,bhk
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.4 Cr,Carpet Area,"1,206 sqft
(112 sqm)","2 BHK
(2 Baths)"
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.45 Cr,Super Built-up Area,"1,196 sqft
(111 sqm)","2 BHK
(2 Baths)"
Pyramid Altia,"3 BHK Flat in Sector 70, Gurgaon",₹93 Lac,Carpet Area,"645 sqft
(60 sqm)","3 BHK
(2 Baths)"
Pyramid Altia,"3 BHK Flat in Sector 70, Gurgaon",₹93 Lac,Carpet Area,"645 sqft
(60 sqm)","3 BHK
(3 Baths)"
"M3M The Marina
3.9","2 BHK Flat in Sector 68, Gurgaon",₹1.47 Cr,Super Built-up Area,"1,260 sqft
(117 sqm)","2 BHK
(2 Baths)"
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.32 Cr,Super Built-up Area,"1,194 sqft
(111 sqm)","2 BHK
(2 Baths)"
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.39 Cr,Super Built-up Area,"1,196 sqft
(111 sqm)","2 BHK
(2 Baths)"
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.36 Cr,Super Built-up Area,"1,196 sqft
(111 sqm)","2 BHK
(2 Baths)"
"M3M The Marina
3.9","2 BHK Flat in Sector 68, Gurgaon",₹1.45 Cr,Super Built-up Area,"1,245 sqft
(116 sqm)","2 BHK
(2 Baths)"
"HCBS Sports Ville
3.5","2 BHK Flat in Sohna, Gurgaon",₹42 Lac,Built-up Area,"743 sqft
(69 sqm)","2 BHK
(2 Baths)"
"HCBS Sports Ville
3.5","2 BHK Flat in Sohna, Gurgaon",₹44 Lac,Built-up Area,"743 sqft
(69 sqm)","2 BHK
(2 Baths)"
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.38 Cr,Super Built-up Area,"1,196 sqft
(111 sqm)","2 BHK
(2 Baths)"
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.37 Cr,Super Built-up Area,"1,203 sqft
(112 sqm)","2 BHK
(2 Baths)"
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.45 Cr,Built-up Area,"1,194 sqft
(111 sqm)","2 BHK
(2 Baths)"
"GLS Arawali Homes
3.7","2 BHK Flat in Sohna, Gurgaon",₹42 Lac,Super Built-up Area,"720 sqft
(67 sqm)","2 BHK
(2 Baths)"
"GLS Arawali Homes
3.7","2 BHK Flat in Sohna, Gurgaon",₹45 Lac,Super Built-up Area,"476 sqft
(44 sqm)","2 BHK
(2 Baths)"
"GLS Arawali Homes
3.7","2 BHK Flat in Sohna, Gurgaon",₹50 Lac,Carpet Area,"576 sqft
(54 sqm)","2 BHK
(2 Baths)"
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.31 Cr,Carpet Area,"1,194 sqft
(111 sqm)","2 BHK
(2 Baths)"
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.32 Cr,Built-up Area,"1,208 sqft
(112 sqm)","2 BHK
(2 Baths)"
,,,,,
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.32 Cr,Carpet Area,"1,200 sqft
(111 sqm)","2 BHK
(2 Baths)"
"Apex Our Homes
4.0","2 BHK Flat in Sector 37C, Gurgaon",₹57.5 Lac,Super Built-up Area,"925 sqft
(86 sqm)","2 BHK
(2 Baths)"
"Apex Our Homes
4.0","2 BHK Flat in Sector 37C, Gurgaon",₹55.2 Lac,Super Built-up Area,"925 sqft
(86 sqm)","2 BHK
(2 Baths)"
"Apex Our Homes
4.0","2 BHK Flat in Sector 37C, Gurgaon",₹55 Lac,Super Built-up Area,"925 sqft
(86 sqm)","2 BHK
(2 Baths)"
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.35 Cr,Super Built-up Area,"1,196 sqft
(111 sqm)","2 BHK
(2 Baths)"
"ROF Aalayas
3.9","3 BHK Flat in Sector 102, Gurgaon",₹81 Lac,Carpet Area,"645 sqft
(60 sqm)","3 BHK
(2 Baths)"
"ROF Aalayas
3.9","3 BHK Flat in Sector 102, Gurgaon",₹85.5 Lac,Carpet Area,"645 sqft
(60 sqm)","3 BHK
(2 Baths)"
"Apex Our Homes
4.0","2 BHK Flat in Sector 37C, Gurgaon",₹58 Lac,Super Built-up Area,"925 sqft
(86 sqm)","2 BHK
(2 Baths)"
"Apex Our Homes
4.0","2 BHK Flat in Sector 37C, Gurgaon",₹57 Lac,Super Built-up Area,"925 sqft
(86 sqm)","2 BHK
(2 Baths)"
"Apex Our Homes
4.0","2 BHK Flat in Sector 37C, Gurgaon",₹56.9 Lac,Super Built-up Area,"925 sqft
(86 sqm)","2 BHK
(2 Baths)"
"Tulip Orange
3.9","3 BHK Flat in Sector 70, Gurgaon",₹1.28 Cr,Carpet Area,"1,133 sqft
(105 sqm)","3 BHK
(2 Baths)"
"Imperia The Esfera
3.9","3 BHK Flat in Sector 37C, Gurgaon",₹1.42 Cr,Super Built-up Area,"1,815 sqft
(169 sqm)","3 BHK
(4 Baths)"
"ILD Greens
4.0","3 BHK Flat in Sector 37C, Gurgaon",₹1.44 Cr,Built-up Area,"1,839 sqft
(171 sqm)","3 BHK
(3 Baths)"
